																		T	Q number		Examiner			Year	Description	
doc. RNDr. Tomáš Pitner, Ph.D.	předseda - většinou nemluvil působil ale přijemně a povzbudivě. Promluvil, když se mi snažil pomoct, anebo přerušoval ostatní zkoušející. Velice milý.	Predseda komisie BC-AP. Skoro nic nehovoril, ak ano, snazil pomoct. Velmi zlaty	předseda komise, prakticky nemluvil, když už, snažil se pomoct nebo umlčet zkoušející, pokud se začali babrat v detailech nebo moc dusit. Snažil se uklidnit a byl moc milý.	BC - predseda komisie, bol zároveň mojim vedúcim, pri obhajobe prikyvoval na veci o ktorých som prezentoval, pri skúšani nepovedal vôbec nič. Pôsobil ale príjemne a zlepšoval mi tak moje pocity.	Bc Inf 2024 - za celou dobu snad nic neřekl, nechal zkoušení na ostatních			Predseda komisie, vacsinou len sedel s pozeral sa. Ale pocuval, ked tak doplnil nejakou podotazockou svojich kolegov. Prijemny, aj ked obcas vyzeral velmi vazne, ale to je asi v pohode. Ked som neporozumel otazke, alebo mal pocit, ze zacinam o niecom inom, tak ma ochotne naviedol. Ked som spomenul nejaky navrhovy vzor, ktory nepoznal, tak to hned zacal googlit a uznal mi to ako spravnu odpoved.	Bc AP - předseda, moc nemluvil, jednou přeformuloval otázku zkoušejícího, když viděl, že ji prostě nemůžu pochopit (pak jsem ji hned pochopil), tvářil se moc povzbudivě. Jednou zarazil zkoušejícího, když jsem na něco odpověděl blbě a on mě v tom chtěl vykoupat. 	Bc PVA - zkoušel teoretickou otázku, ptal se na základní věci, byl moc příjemný, zároveň to byl vedoucí mé bakalářské práce
doc. RNDr. Vlastislav Dohnal, Ph.D.	docent Dohnal je při státnicích velmi pohodový člověk, mě se ptal na SOA	"Otazka DB. Ptal se na triviality.
"	SZZMGR - AP: Jak píši ostatní, tak byl milý a usmíval se a snažil se pomoci. Měl navíc doplňující otázku (už jsem měl již 2 otázky/okruhy od ostatních členů komise) s významem statistik u DB.	[MGR SSME] Bol velmi príjemný, snažil sa nasmerovať keď som sa zasekol a otázky dával skôr základy a nič zákerného. Pýtal sa na architektúru software. Rozprávali sme sa o vrstvových architektúrach, o servisne orientovaných architektúrach, o tom ako komunikujú medzi sebou jednotlive service pri SOA. Dopýtaval sa na MVC, SOAP, WSDL, REST. Ešte sa pýtal na XML, JSON a validačné schématá k nim. Mal som ho tenkrát aj na Bc. v komisii a tiež bol veľmi príjemný. Celkovo si myslím, že super.	SZB Softwarove inženýrství II Ptal se jak funguje testovaní, mockup testing...Jak funguje udrzba - co bude programator chtit po zakaznikovi vedet, kdyz zakaznik poda pozadavek na opravu neceho. Mel spoustu otazek, ale na vetsinu si odpovedel sam. Byl hodny, prijemny, rozhodne vyhra!	Bc. státníce otázka na funkční závislosti a normální formy, ptal se na celkem jednoduché otázky a naváděl na správné odpovědi, pohodové a bezproblémové zkoušení.	Predseda komise, moc milý a usmievavý, pýtal sa nejaké drobnosti k diplomke, ale nič zákerné. 	PVA: predseda komise, mily a prijemny, k obhajobe nemel otazky ani pripominky a nezapojoval se ani do zkouzeni
Ing. Leonard Walletzký, Ph.D.	[MGR SSME] Príjemný, snažil sa pomáhať a nasmerovávať, keď som sa trošku zasekol. Pýtal sa na digitálny podpis, s tým, že ako som mu opisoval jeho fungovanie, tak sa dopýtaval na spomenuté detail. Napríklad ked som spomenul Hash, chcel vedieť co je Hash, ake ma vlastnosti a tak. To iste pri privátnom a verejnom kľúči - chcel vedieť čo to je a z kade ho mám... Tiež sa pýtal na certifikačnú autoritu a ako funguje. C0elkovo si myslím, že bol veľmi príjemný, otázky boli skôr jednoduché a nič zákerné sa nepýtal.	[SWE-DEV] 2025 Opytal sa na distributed systems, zaklady, SOA a replikacia zdelanie dat. Rozpraval som sam asi 3 minuty, na nic sa nedopytoval a povedal ze nie je na to nejaky expert takze mu to staci :D Velmi mily
Ing. Matej Lexa, Ph.D.	SZMGR AP - Pytal sa ma siete - pytal sa takym stylom, ze nestaci mat naucene pojmy, musite tomu rozumiet, aby ste mu vedeli odpovedat. Casto som nevedel, co odomna chce, a pochopil to az ked to nejak inak povedal/upresnil. TCP congestion control, veci okolo L4, L3, classful/classless adresovanie. Inak ale v pohode skusajuci, nenechal ma v stychu.	Mgr SWE-DEV: Kvalita kodu - ptal se na metriky, testovani kodu a hodne jsme se tocili okolo code coverage. Neskutecne prijemny clovek, nechtel nic zakerneho, stacily mu zaklady	ING SWE-DEV 2025: Distribuované systémy - Základní pojmy, principy. Mluvil jsem o tom, co jsou distribuované systémy, jak používají middleware, a nějaký obecný pojmy s tím související. Pak jsem přešel k rozdílům mezi centralizovanou a distribuovanou architekturou systému, výhody  nevýhody. Hodně jsem se točil kolem škálování a replikace, eventuální konzistence, nedostupnost dat při výpadku jedné instance (lze řešit replikací, např master-slave). Obecně byl v pohodě, někdy jsem měl trochu problém pochopit, co se po mně chce, ale prostě jsem se zeptal, jestli nemluvím o něčem jiným a navedl. Dal prospěl výborně.	"ING, SWE-DEV 2025: Uživatelská rozhraní
Pýtal sa na princípy návrhu a vývoja používateľských rozhraní. Sopmínal som veci ako design pre rôzne zariadenia, cieľových používateľov, CRAP, ... Ďalej chcel, aby som popísal akým spôsobom som tieto princípy využil v diplomke (keďže súčasťou toho bolo aj UI), tak som to ukazoval na obrázkoch v slidoch. Celkovo to bolo dosť voľné, nechal ma dosť rozprávať."		N-SWE OPS 2025: Chtěl abych mu vysvětlil Ganttovy diagramy, metodu kritické cesty a PERT. Říkal, že o tom moc neví, tak ať ho to naučím. Vůbec do toho nezasahoval, za 7 minut jsem měl hotovo. Celkově velmi příjemný.	Mgr UIZD SUUI: Databázy - úvod, príklad iných ako relačných databáz - to som moc nevedela, potom si v rámci komisie povedali, že to nie je moc v tej otázke, tak sme pokračovali niečim iným. Indexovanie (aj multi), k B+stromom vetvenie, preplnenie uzlu, a ich zložitosť, ne/výhody ukladania dat vo viacerých tabulkach. Veľa nechával rozprávať, nechcel detaily, nemal veľa otázok, nadväzoval na to čo som povedala, ak by som nespomenula B+stromy, možno by sa na ne nepýtal viac. Milý.
Mgr.  Jan Obdržálek Ph.D.	Přišel mi příjemný, celou dobu se usmíval a ptal se mě na základní, celkem jednoduché, věci. Vytáhl jsem si automaty a determinizaci. Na papír jsem popsal základní definice konečného automatu, zásobníkového automatu a turingova stroje (bez těch rozšířených fpřechodových fcí) a pak jsem se tam snažil nějak sesmolit ten algoritmus na determinizaci. U tabule pak chtěl jen namalovat, jak funguje TS, která slova akceptuje, která ne a jestli musí přečíst celý vstup. A pak jsem musel namalovat konečný nedeterministický automat a provést determinizaci (takový ty stavy 123 apod.) Celkem pohodový zkoušení i hodnocení.	Skúšal ma grafy, je treba dobre vedieť základné definície a aj popri odpovedi rozmýšľať, so mnou sa pozabával na komponentách súvislostí, potom sme to nejak spoločne doladili, pri hodnotení bol dosť mierny	Je pravda, ze ocakaval presne definicie (mal som determinanty, matice, lin.vekt.zobrazenie, ale ked som nevedel, povedal ze to nevadi a opytal sa nieco ine. Nepytal sa na ziadne zakernosti, stale sa usmieval a celkovo bol v pohode.	Skusal ma automaty a bol uplne v pohode chcel iba odomna zostavit nedeterministcky automat a potom ho previest na deterministicky a este mal otazku ohladom akceptovania v zasobnikovych automatoch	Je nutné znát definice ať zkouší cokoliv, bez definic se nehnete. Trvá si na svém.	skusal ma automaty a gramatiky, ked videl ze na papieri som to ako tak popisal tak to moc nestudoval, siel rovno na prevody automat - gramatika - RE, ale bol celkom pohode, ked clovek nevie tak poradi	otázka grafy, hladanie cesty a toky + procesory a prerušenie, mal som všetko v skratke popísané na papieri ale chcel ukázať na reálnom príklade toku ako sa chová ford fulkerson a to bolo všetko, ináč keď som nevedel niečo k druhej otázke o procesoroch a klopných obvodoch, snažil sa pomôcť, takže hodnotím pozitívne	Skúšal ma lineárnu algebru až po determinant, väčšinu času sa zo mňa snažil dostať definíciu determinantu (ktorú som naozaj nevedel). Ale videl, že aspoň niečo som vedel, celkové hodnotenie (aj mi bolo oznámené, že kvôli tomuto) bolo B	Zkoušel mě na grafové problémy. Všechno jsem tak nějak věděla, ale v přípravě jsem měla uvedené definice s chybama - ptal se mě na ně tedy znovu a dovedl ke správné odpovědi. Viděl, že jsem byla nervózní a byl dost tolerantní, když jsem se na něčem zasekla a nemohla ze sebe dostat to správné slovo :D Dostala jsem B.	Zkoušel mě na grafové problémy. Všechno jsem tak nějak věděla, ale v přípravě jsem měla uvedené definice s chybama - ptal se mě na ně tedy znovu a dovedl ke správné odpovědi. Viděl, že jsem byla nervózní a byl dost tolerantní, když jsem se na něčem zasekla a nemohla ze sebe dostat to správné slovo :D Dostala jsem B.	SZB rekurzivní algoritmy. Chtěl nakreslit jak pracuje Merge a Quick. A jak to je s polem - jestli se vytvari nove pole nebo se to vsechno radi v jednom. Vztah mezi matematickou indukci a rekurzi ho uspokojila odpoved, ze se pouziva pro dukaz korektnosti algoritmu. Byl velice mily, pomahal. 	BC. Kombinatorika - hodně pomáhal a sem tam se tahal za vlasy. Chtěl podmíněnou pravděpodobnost a pravděpodobnost obecně. Příklady byly mírné, ale já byl nervozní jak cyp a tak to ze mě tahal jako z chlupaté deky. Nakonec jsem to dostal.	BC. Funkcionálne programovanie - Mal som v príprave všetko popísane cca 1 a pol A4. Pýtal sa redukčné stratégie celkom dopodrobna a chcel aby som mu napísal program, ktorý vytvorí nekonečný zoznam jednotiek. Boli to netypicke otazky ale dost pomahal a navadzal na riesenie.	 	Bc. Skúšal ma otázku "Korektnosť a zložitosť algoritmu". Na prípravu na papier som napísal asi všetko aj s popisom, ale nestihol som sa už vyjadriť k radiacim algoritmom. Takže ma celý čas skúšal z Merge sortu a mal som popísať ako funguje, odvodiť zložitosť, korektnosť...	Mgr. UMI - náhodnostní algoritmy, definice algo typu LV, 1MC, 2MC, reálný příklad LV a MC algo + ukázat, proč jsou LV nebo MC, proč náhodnostní algo používáme; heuristické algoritmy, jak se liší od náhodnostních, příklad heuristického algo, co přesně v něm je heuristika	Mgr AP, grafové algoritmy, konkrétně toky, stihli jsme Ford-Fulkerson, Edmonds-Karp a Dinitz. Jde mu to, zda o to student chápe, nikoli o to, aby napsal na tabuli definice přesně tak, jak má na slidech. Chtěl vědět vždy, jak přibližně algoritmus funguje a jakou má složitost včetně vysvětlení. Příliš do hloubky nešel, stačilo mu vědět z čeho zhruba daná složitost vychází. Na první pohled se zdá, že je při zkoušení takový "rýpavý", ale imho to s vámi myslí dobře.	SZB, Množiny, relace a zobrazení: Měl dost trpělivosti a dostatečně dlouho mě naváděl správným směrem. Ptal se na základní věci.	"SZB - bez přípravy - kombinatorika
Na kombinatoriku se vůbec neptal, pouze na pravděpodobnost.
 Ptal se na podmíněnou pravděpodobnost, potom Bayesovu větu a chtěl úvést příklad, kde by se dala využít.
 Potom dal jednoduchý příklad - něco jako hod dvěma kostkami, jaká je pravdpodobnost, že na druhé kostce padne sudé číslo, jestliže na první z nich padla 4.
 Celkově byl milý, když se zamotáte, tak se vás snaží navést. Potrpí si ale na definice a pojmy, je rád když něco sami odvodíte (např. tu Bayesovu větu) a při odpovědi Vás nenechá odbočit jinam, než na to, co se ptal. "	SZB (PVA) - Vytiahla som návrh algoritmov, povedala som ako funguje rozdeluj a panuj, potom povedal, tak zacneme od konca a spytal sa na vztah rekurzie a mat indukcie. Čakala som, že teda bude stačiť povedať, že sa indukciou dokazuje rekurzia, čo bola veľmi slabá veta a nebol spokoný, čo došlo k tomu, že som musela napísať nejaký ľubovoľný dôkaz, na čo som sa vôbec nenastavila a tak to zo mňa šlo veľmi ťažko, nakoniec som ale dospela k tomu, čo chcel k tej odpovedi naozaj počuť - Dokazuje správnosť rekurzívnych algoritmov a pri mat indukcii sa indukčný krok dokazuje na základe, že platí báza. Verila som, že to, čo hovorím je to, čo chce :D Je nutné sa pri ňom vyjadrovať presne, ale na druhej strane dosť navedie k tomu, čo vlastne počut chce.	Bc - BcAP, FJA I, otázky čo sa pýtal neboli síce zložité ale nemal som pocit že by sa veľmi snažil mi pomáhať. Skôr ostal ticho a dúfal že sa opravím. Nakoniec som sa síce opravil sám ale čakal som že bude viac nápomocný. Pýtal sa na definíciu regulárnych jazykov, opísať determinizáciu, a uzáverové vlastnosti regulárnych jazykov. Pri uzáverových vlastnostiach som povedal že sú uzavreté "na všetko" s čím nesúhlasil a nepriamo mi naznačil aby som vymenoval všetky operácie (prienik, rozdiel, zjednotenie, doplnok...). Je proste trochu pedantný a neuspokojí sa s nepresnými definíciami. Potom ma ešte vykúpal v paralelnej synchrónnej kompozícii a chcel vedieť ako presne funguje, ktoré stavy sa ako zjednocujú atď. Ďalej sa už potom nepýtal nič, povedal že mu to stačí.	SZB PVA - funkcko. Pýtal sa základy, veľmi príjemný skúšajúci. Chcel vedieť funkcie vyššieho rádu, anonymné (Lambda) funkcia, vyhodnocovacie stratégie,	SZB INF Velmi prijemny zkousejici. Dostala jsem otazku na cerveno-cerne stromy, ptal se na strukturu stromu, k cemu se pouzivaji (vyhledavani, indexovani v databazich). Pak se ptal jak se dela insert a jeho slozitost, nechtel popsat uplne do mikrodetailu vsechna pravidla, stacilo ukazat priklad na malem stromu a udelat rotaci a prebarveni uzlu. Ptal se taky na slozitost delete, a proc cerveno-cerne stromy jsou lepsi nez obycejne binarni vyhledavaci.                     Byl usmivavy a kdyz jsem se zamotala ve svych slovech, tak me lehce navedl. Byl v komisi s profesorkou Ivanou Cernou a doktorem Jaroslavem Pelikanem. 	SZB PVA: Rozhodnutelnost, nerozhodnuteľnosť, akceptácia jazyka a problém zastavenia - Na začiatku som to trochu doplietol čoho sa chytil a odbočili sme tak od hlavných pojmov. Chcel nejaké príklady problémov a ako vyzerá ich jazyk resp. slová toho jazyka. Pri hlavných pojmoch bol spokojný až keď odznela presná definícia, no pomáhal sa k nej dostať. Bol milý a aj keď som niečo trepol, tak sa len čudne zatváril a snažil sa ma naviesť na správnu odpoveď. Nechce človeka potopiť, ale odporúčam dávať pozor na formálne definície.	BC INF: Skúšal ma umelú inteligenciu. Chcel vysvetliť ako funguje alfa-beta prehľadávanie na príklade šachu. Pôsobil chladne.	SZB PVA 2024, bez pripravy, 11. Zlozitost: Zacal od konca, od NP-uplnych problemov a dostali sme sa k polynomialnej redukcii. Chcel iba definicie a principy (co je algoritmus, algoritmicky problem, rozhodovaci problem, polynomialna redukcia, NP-trieda), k prikladom sme sa nedostali, taktiez nechcel nic s NPSPACE, co sa na PVA nepreberalo. Co som tak postrehol aj od ostatnych, bud zacina skusat od zaciatku, alebo od konca otazky, tak sa na to pripravte :D. Bol prijemny, ale potrpi si na spravne formulovanie a idealne aj definicie. Ak ich neviete, nebude sa vas pytat dokola tu istu otazku ale navedie vas tak, aby z vas dostal tu spravnu definiciu a potom je spokojny. Suhlasim s ostatnymi ze je dobre si dat pozor na formalne definicie a hlavne sa naucit zaklady. Hodnotenie mi prislo odpovedajuce, ked to bude z vas tahat, samozrejme to nebude za A, ale absolutne sa nemusite bat ze vas nepusti ak bude pocut to co chce a hlavne bude vidiet ze tomu chapete, len to neviete matematicky az tak dobre zadefinovat.	SZB PVA - podzim 2026, bez prípravy. Zložitosť. Na začiatok sa spýtal na definíciu NP problémov, keď som povedala, že ich simuluje NTS v polynomiálnom čase, nepáčilo sa mu slovo simuluje, tak sa spýtal, čo ako fungujú TS. Okruhom som to definovala pomocou definície výpočetných problémov, rozhodovacích, problémov príslušnosti a problemov, či patri slovo do jazyka, čo som potom premostila na tie TS. Potom chcel vysvetliť NP-úplné problémy, pričom teda treba definovať aj NP-ťažké, chcel aj pár príkladov na NP-úplné problémy, povedala som Subset-sum a 3-sat a tiež ich opísala. Potom sa pýtal, ako dokázať, že je problém NP-ťažký, to som zadefinovala polynomiálnu redukciu a vysvetlila to pomocou nej, stacilo mu, že je vykonáva DTS v polynomiálnom čase a len vysvetliť, že problém, na ktorý sa redukuje je ťažší a že keď vyriešime ten, tak vieme vyriešiť aj ten pôvodný a teda, že dokaz NP-ťažkosti je, keď NP-úplný problém redukujeme na ten, čo chceme dokázať. Celý čas bol celkom v pohode. Dostala som prospela výborne
Mgr. Aleš Křenek, Ph.D.	Toky v sítích a Distribuované systémy, dekompozice úloh, základní podpora programování. Moc jsem toho nevěděl, fakt jen úplné základy, detaily vůbec nechtěl, když jsem se ho požádal, aby se mě zeptal jinak, neměl s tím problém. Chtěl jen vědět, zda o tom mám vůbec nějaké povědomí. Dostal jsem za A, dal bych si E.	 	SZZMGR AP: Pýtal sa ma na logické programovanie a mal som pocit, že šiel dosť do hĺbky, pýtal sa ako funguje vyhodnocovanie a pod. Inak bol príjemný a snažil sa ma naviesť
Mgr. et Mgr. Jan Krhovják, Ph.D.	"MGR bezpecnost - pytal sa na utoky na RSA, faktorizaciu a urcovanie
 prvocisel...faktorizaciu som moc nevedel, tak sa spytal zachrannu otazku
na urcovanie provisel..nedusil, prijemny"	Zkoušel mě na databá. Konkrétně si vybral žurnálování, ale myslímm, že si prostě jen vybral podokruh a mohl se zeptat na cokoliv z databází.	Ing štátnice [SWE-DEV] 2024 - bezpečný kód - nechal hovoriť samostatne až kým mi nedochádzali nápady, digitálny podpis - akú používa kryptografiu, príklady na algoritmy, na čo je dobrý, prečo sa podpisované dokumenty hashujú, vlastnosti hashovacích funkcií, statická a dynamická analýza kódu, čo je to injection, ako môže vyzerať, buffer overflow - čo je a čo môže spôsobiť, čo je elektronická známka (nevedel som, ale nehrotil to, skôr bral ako extra zaujímavosť). Celkovo príjemný, nevŕtal sa do detailov, keď videl niekde medzery.	"SWE-DEV - jaro 2024
bezpecny kod, presiel skoro celu otazku, tak vagnejsie sa pytal, zaskocil ma zaruceny elektronicky podpis a chcel vediet, ci viem ako funguje rsa"	MGR N-PSKB IB: nechal mě mluvit a doptával se na podrobnosti, začal s útoky, popsat jednotlivé typy a systémy, na které se dají aplikovat, pokračoval s HSM, co to je, k čemu se používá, odpovidající certifikace, typy ochran a útoků
Mgr. Eva Mráková, Ph.D.	Měl jsem otázku "lingebra" a celou ji vedla ona. Měla opravdu hodně otázek, ale když jsem nevěděl, nějak negrilovala a šla dál. Pokud viděla, že tuším, snažila se mne navést ke správnému řešení. Byla v pohodě.	Měl jsem jako otázku grafy, první část a ptala se na věci, které sem v přípravě neměl nebo je chtěla definovat jinak. Myslím, že otázky byly v pohodě, akorát v tom stresu mě moc z hlavy nešly. Myslím že byla v pohodě.	Ing štátnice [SWE-DEV] 2024 - bezpečný kód - nechal hovoriť samostatne až kým mi nedochádzali nápady, digitálny podpis - akú používa kryptografiu, príklady na algoritmy, na čo je dobrý, prečo sa podpisované dokumenty hashujú, vlastnosti hashovacích funkcií, statická a dynamická analýza kódu, čo je to injection, ako môže vyzerať, buffer overflow - čo je a čo môže spôsobiť, čo je elektronická známka (nevedel som, ale nehrotil to, skôr bral ako extra zaujímavosť). Celkovo príjemný, nevŕtal sa do detailov, keď videl niekde medzery.	Při zkoušení se snaží člověka k odpovědi dostrkat, nespěchá na něj dává mu možnost si to rozmyslet. Nesnaží se člověka nachytat, hodnotí rozumně. Dle mě výborná zkoušející.	ako oponentka na bakalárku - zdrbala neskutočne pri objahobe	Mal som u nej mnoziny, vcelku ma potrapila na definicii Modula (vazne netusim co presne to odo mna chcela), ale bola velmi trpezliva so mnou a ked uz videla, ze vazne netusim o co ide, nechala ma ist na druhu otazku
Mgr. Kamil Malinka, Ph.D.	MGR AP - Hodně pokládal otázky k obhajobě DP. Zkoušel mě ze sítí, chtěl vědět o ISO/OSI modelu. Ptal se, jak vypadá UDP packet a jestli číslo portu odesílatele a příjemce je stejné. Usměvavý, příjemný	MGR AP - Co je to graf, BFS, DFS. Bol uplne v pohode, zaujimali ho len zaklady		MGR AP - Sítě. Moc milý zkoušející, směroval na správnou odpověď, když člověk nevěděl. Ptal se na Firewally (na kterých vrstvách a jak jsou implementovány), Proxy a obecně vrstvy ISO/OSI model
"Mgr. Luděk Bártek, Ph.D.
"	Dal mi jedinu doplnujucu otazku k databazam - priklad na spajanie relacii a bol velmi trpezlivy, aj ked som zacal zle. Uplne v pohode.	I když by podle fotky v ISu zabíjel pohledem, byl v pohodě. Je pravda, že jsem otázku věděl dobře, takže byl spokojený a veselý. Naprostá pohoda - dokážu si ho představit jako zlejšího, pokud bych se v otázce topil a nevěděl základy, což by se ale u státnic nemělo stát.	Čekal jsem ho mnohem horšího, podle toho jak ho znám ze cvik. K mé otázce pouze řekl že je tam všechno co chce a začal vymýšlet vtipné dplńující otázky :) Na druhou stranu jsem měl na otázku štěstí a nevím jak by to vypadalo, pokud by mi tam půlka věcí chyběla	Má hrozný výraz při zkoušení, a trochu jiný pohled na svět, ve své podstatě ale není tak zlý	Naprosto v pohodě, ale měl jsem štěstí na otázku a na papír jsem napsal vše rovnou, až na 1 detail, na který se doptal a pak vymyslel jednoduchou doplňující otázku. Během pár minut nebylo co řešit. :)	MGR AP - bol v pohode, chcel pocut len zaklady. Protokoly transportnej vrstvy + na co je MPLS. Kolega pred (INS) dostal firewally + SSL	Snažil sa pomôcť a naviesť, ale pýta sa dosť hlboké veci ak ide o programovanie a naťahuje jednu otázku.	[MGR AP]  Opět protokoly transportní vrstvy. Nedokázal jsem si vzpomenout na RTP u UDP, plus pár dalších drobností spíš z nervozity, což mi nejspíš zhoršilo známku na B.	Bc. Soft inžinierstvo I - úplné základy o vývojovom cykle. Vysvetliť vývoj riadený planom a agilný prístup. Nič, čo by človek nevykecal so základnými znalosťami. Na UML diagramy sa nepýtal vôbec. Ako cvičiaci monžo nemá najlepšiu reputáciu, ale mal som ho na dvoch obhajobách projektov a aj na bc štátniciach a všade sa správal super a nedával žiadne ťažké otázky.	"Bc AP - Databáze I (relačný model, schéma, ERD diagram a jeho návrh, kľúče).
Pri Bártekovi sa jednoducho musíš naladiť na jeho frekvenciu. Nesnaží sa ťa potopiť, ak vidí, že vieš čo robíš, tak je celkom milý. Môže potom zájsť do bodu, kedy nechápeš, ako myslí svoju otázku - kľudne sa ho spýtaj, nech ti ju preformuluje."	Bc AP - SW II - chtěl vědět průběh vývoje softwaru, vyptával se hlavně na agilní metodiku, zeptal se, jestli jsem měl Javu a pak se ptal, jestli ty iterace v Javě byly agilní, jak se říká tomu, když dostanu první testy a pak píšu kód apod. nakonec chtěl popsat roli UML, jak se postupně vytváří ty diagramy, k čemu slouží - use-case a class, další jen vyjmenovat. Celkově to bylo strašně rychlé, myslím si, že během 7 minut bylo po všem, nemůžu říct, jak se chová, pokud nevím, protože jsem všechno věděl (když jsem v druhé otázce, ze které mě zkoušel někdo jiný nevěděl nebo spíš nechápal otázku, tak mi připadal trošku pobavený). Ze státnic B, ale řekli mi, že tahle část byla samotná na A, ta druhá mi to zhoršila. 	"Mgr - PSKB IB: Legislativa týkající se kryptologie, digitální podpis a certifikáty. Začala jsem říkat digitální podpisy
a k legislativě jako takové jsme se až na jednu poznámku  nedostali. (Naopak se hodně řešilo, na čem digitální
podpis stojí, proč se podepisuje hash, nějaké základy o asymetrické kryptografii...)

Celkově moc milý zkoušející. (Teda, celou dobu se usmíval, a já nevěděla čemu -
jestli si z těch státnic trochu dělá srandu nebo co :D). Dával hodně ""malých"" otázek k věci,
 takže dost určoval směr a nebyl moc prostor nebo potřeba vymýšlet ""co tam ještě patří"" a jak to seskládat.
Umím si představit, že by toto mohlo být nepříjemné, když se člověk na některé z těch konkrétních otázek
zasekne, ale u mě to byly vcelku lehké základy nebo návodné otázky."	Bc PVA - Databaze II (SQL). Bol vedúcim bakaalrskej práce, celá štátna skúška bola s ním mimoriadne prijemna. Nepýtal sa na nič iné okrem základnej syntaxe SQL a musel som mu napísať príklady operácií CRUD. Nakoniec sa ma spýtal, ako vytvorím pomocou SQL databázu a tabuľku v nej. Pomohol mi vždy, keď som premýšľal viac ako päť sekúnd.	MGR - SWE/DEV: Databáze - jak se ukládají data, přešel jsem ke stromům, tam chtěl vysvětlit jak velké a proč jsou jednotlivé větve. Taky se ptal na složitosti vyhledávání, tam jsem dost nevěděl. Pak jen rychle nějaké SQl dotazy	"MGR, N-SWE DEV: Počítačové siete

IP protokol, IPv4, IPv6, Triedy adries (A, B, C, D, E a že A je napr. /8 v CIDR apod.), CIDR, a akým spôsobom sa dostane po sieťovej vrstve dotaz z bodu A do bodu B. Chcel počuť výrazy Gateway a maska a potom, že router-e v sieti nejakým spôsobom v podstate definujú podsieť, a každý ďalší router je v podstate ""väčšia"" sieť a tá pôvodná je jeho podsieť, že ide o rekurzívny vzťah. Zároveň ešte bolo fajn podotknúť zdrojovú a cieľovú IP adresu. Na záver sa ešte predseda komisie (Barnat) dopýtal, že akým spôsobom vie router definovať jednotlivé zariadenia pod ním. Správna odpoveď NAT a potom čoho sa týmto spôsobom užívateľ ""vzdáva"". Jedna z vecí bola priestor, resp. množstvo portov, na základe ktorých potom NAT mapuje adresy jednotlivým procesom a zariadeniam v rámci privátnej siete. Používal príklady, na ktorých ""nasimuloval"" situáciu, ktorou by ma naviedol na nejakú prijateľnú odpoveď.

Pokiaľ som bol viac ako 3 sekundy ticho, začal ma navádzať, prípadne pokladať otázku iným spôsobom, aby mi napovedal. V mojom prípade to bolo skôr kontraproduktívne, lebo som sa ešte viac zamotal v tom, čo by chcel počuť."	"MGR, N-SWE DEV: UI/UX
Pýtal sa na všeobecné princípy a proces vývoja UI. Wireframes, mocks, prototypes, low/hi fidelity, personas, user testing, vertical/horizontal prototypovanie. Nechal rozprávať voľne takže neviem čo presne chcel počuť :D. Ešte sa dopýtal na to ako upraviť UI/UX pre userov s handicapom ako picture labels, SEO princípy, color pallete, AI integrácia.
Klasika Bártek, chill, nehrotil otázky ale chcel aby som pokryl široký záber otázky viac ako do hĺbky. Treba sa naladiť na jeho spôsob interakcie a ide to v pohode."	"MGR, N-SWE DEV: Databázy
Prečítal začiatok otázky k databázam a mal som o tom niečo hovoriť. Z nejakého dôvodu v otázke spomenul aj ukladanie do súborového systému (rok 2025 to už nemal v otázke), ale ten som len tak spomenul a stačilo to. Hovoril som len nejaké základy k SQL a NoSQL. Následne položil otázku na časti SQL kde chcel počuť niečo o DDL, DML, DCL a TCL. K TCL sa ešte pýtal na ACID s nejakým high level infom. Miestami som nerozumel jeho otázkam, ale vo výsledku sme sa nejak pochopili a bol celkom príjemný."	"MGR, N-SWE DEV: Programování a softwarový vývoj.
Zaujímal ho hneď vývoj webovych aplikacií, čo je preňho špecifické. Skušanie sa stočilo k UI/UX kde ho najmä zaujímali veci ohľadom accessibility pre použivateľov s handicapom, že tam treba používat správne tagy, alt k obrázkom atď. Tiež chcel vedieť či poznam nejaké guidelines, konkrétne ho zaujímali Web Content Accessibility Guidelines (WCAG). Celkovo bol ale vpohode aj keď niektore otázky pokladal zvláštne.
Okrem toho pri obhajobe kladôl rôzne otázky k práci ako napr. kedy je vhodne použiť SQLite a kedy už nie, ale celkovo nič zákerne."	"BC, PVA, skusajuci, znamka - Pass
Obhajoba - pozeral do notebooku a nepytal sa na nic
Principy nízkoúrovňového programování - ako vyzera pamatovy model, co sa uklada na Stack a co na Haldu, ako sa pracuje s ukazovateľmi a poľami, čo sa stane keď nedealokujeme na halde, a keď v C vytvoríme string, tak čo sa uloží na posledné miesto (\0)
Pri skusani mi najviac sa snazil pomoc, a ked som sa zamotaval stale mi pomahal, za mna najviac pomocny clen komisie. Podla mna vobec nie je tak zly ako ho opisuju."
